judul,tanggal,media,isi_berita
Banjir di Paruga,2019-01-01,Kompas,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Kodo,2019-01-16,Kompas,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Sarae,2019-01-31,Liputan6,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Paruga,2019-02-15,Kompas,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Kodo,2019-03-02,Liputan6,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Penatoi,2019-03-17,Kompas,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Monggonao,2019-04-01,Liputan6,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Paruga,2019-04-16,Liputan6,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Sarae,2019-05-01,Liputan6,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Paruga,2019-05-16,Antara,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Sarae,2019-05-31,Kompas,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Paruga,2019-06-15,Antara,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Sarae,2019-06-30,Kompas,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Kodo,2019-07-15,Kompas,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Penatoi,2019-07-30,Kompas,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Kodo,2019-08-14,Antara,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Penatoi,2019-08-29,Kompas,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Kodo,2019-09-13,Antara,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Kodo,2019-09-28,Liputan6,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Paruga,2019-10-13,Kompas,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Monggonao,2019-10-28,Kompas,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Sarae,2019-11-12,Liputan6,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Sarae,2019-11-27,Liputan6,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Sarae,2019-12-12,Kompas,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Penatoi,2019-12-27,Liputan6,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Sarae,2020-01-11,Antara,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Sarae,2020-01-26,Antara,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Paruga,2020-02-10,Kompas,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Kodo,2020-02-25,Antara,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Sarae,2020-03-11,Antara,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Monggonao,2020-03-26,Kompas,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Sarae,2020-04-10,Liputan6,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Penatoi,2020-04-25,Kompas,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Penatoi,2020-05-10,Antara,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Penatoi,2020-05-25,Kompas,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Sarae,2020-06-09,Kompas,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Paruga,2020-06-24,Antara,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Monggonao,2020-07-09,Antara,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Sarae,2020-07-24,Kompas,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Paruga,2020-08-08,Antara,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Paruga,2020-08-23,Antara,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Sarae,2020-09-07,Antara,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Sarae,2020-09-22,Antara,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Paruga,2020-10-07,Antara,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Paruga,2020-10-22,Antara,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Paruga,2020-11-06,Liputan6,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Sarae,2020-11-21,Kompas,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Paruga,2020-12-06,Antara,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Penatoi,2020-12-21,Kompas,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
Banjir di Sarae,2021-01-05,Liputan6,Banjir merendam rumah warga dan menimbulkan kerusakan infrastruktur.
